# ID	Clay	Silt	Sand	bulk_density	OM_content	CEC	pH	k_sat	WC_pF1.0	WC_pF1.5	WC_pF2.0	WC_pF2.3	WC_pF2.7	WC_pF3.5	WC_pF4.2
2480	0.08	0.06	0.86	1.23	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2481	0.06	0.03	0.91	1.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2482	0.05	0.035	0.915	1.05	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2483	0.05	0.005	0.945	1.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
2491	0.19	0.375	0.435	1.301	-999	-999	-999	455.4	0.37	0.35	0.325	0.32	-999	-999	-999
2492	0.19	0.375	0.435	1.301	-999	-999	-999	455.4	0.37	0.35	0.325	0.32	-999	-999	-999
2493	0.23	0.366666667	0.403333333	1.429	-999	-999	-999	45.537	0.381428571	0.376	0.37	0.36	-999	-999	-999
2530	0.2	0.19	0.61	1.361	1.07	16.25	8.1	12.894	0.301111111	0.288125	0.251	0.223333333	0.17	0.155	-999
2531	0.14	0.2375	0.6225	1.461	1.03	16.87	7.9	23.326	0.315333333	0.310714286	0.289	0.251666667	0.183333333	0.17	-999
2532	0.11	0.1775	0.7125	1.334	0.47	13.12	8.2	14.4	0.348421053	0.344444444	0.320769231	0.234	0.16	0.145	-999
2540	0.17	0.075	0.755	1.811	-999	-999	-999	3.79	0.2025	0.195714286	0.18	0.153333333	0.125	0.125	-999
2541	0.14	0.11	0.75	1.697	-999	-999	-999	36.17	0.2275	0.218571429	0.2	0.173333333	0.145	0.145	-999
2542	0.17	0.11	0.72	1.771	-999	-999	-999	1.14	0.26375	0.258571429	0.246	0.223333333	0.2	0.2	-999
2550	0.11	0.07	0.82	1.568	-999	-999	-999	54.74	0.16625	0.151428571	0.122	0.09	0.06	0.06	-999
2551	0.12	0.09	0.79	1.853	-999	-999	-999	18.13	0.19125	0.181428571	0.164	0.15	0.135	0.135	-999
2552	0.17	0.145	0.685	1.764	-999	-999	-999	32.99	0.26375	0.26	0.25	0.236666667	0.225	0.225	-999
2560	0.09	0.095	0.815	1.37	0.7	14.4	3.9	1149.12	0.195	0.176666667	0.148571429	0.136666667	0.128	0.11	-999
2561	0	0.06	0.94	1.59	0.1	10.9	4.1	3024	0.154285714	0.136666667	0.1075	0.093333333	0.08	0.07	-999
2562	0	0.005	0.995	1.95	-999	3.5	6.8	27648	0.058571429	0.041666667	0.0325	0.03	0.03	0.03	-999
2570	0.09	0.045	0.865	1.13	3.3	6.5	4.6	1719.36	0.201	0.173333333	0.144285714	0.135	0.126	0.11	-999
2571	0.07	0.05	0.88	1.3	1.5	3.8	4.8	1702.08	0.16125	0.132857143	0.098	0.085	0.073333333	0.055	-999
2572	0.04	0.03	0.93	1.44	0.3	3	5.1	1607.04	0.16	0.125	0.09	0.08	0.07	0.05	-999
2573	0.05	0.035	0.915	1.44	0.2	3.8	5.4	950.4	0.151428571	0.115	0.085	0.076666667	0.065	0.04	-999
2574	0.005	0.0275	0.9675	1.89	-999	-999	7.2	5866.56	0.106666667	0.08	-999	-999	-999	-999	-999
2580	0.18	0.24	0.58	1.07	3.7	30.2	7.6	20.736	0.421	0.407777778	0.385714286	0.371666667	0.354	0.31	-999
2581	0.12	0.25	0.63	1.3	0.8	27.6	8.1	22.464	0.312	0.295555556	0.261428571	0.24	0.212	0.14	-999
2582	0.18	0.315	0.505	1.38	0.7	22.1	8.1	4.925	0.387	0.375555556	0.348571429	0.331666667	0.31	0.25	-999
2583	0.08	0.115	0.805	1.42	0.4	25.6	8.3	15.552	0.224	0.201111111	0.16	0.145	0.126	0.08	-999
2584	0.003	0.0335	0.9635	1.92	-999	-999	-999	4924.8	0.1	0.073333333	0.03	0.03	0.03	0.03	-999
2590	0.18	0.165	0.655	1.22	4.2	10.3	5.9	408.672	0.31	0.31	0.2725	0.2725	0.25	0.15	-999
2591	0.21	0.145	0.645	1.51	1	12.9	6.9	34.56	0.255	0.255	0.2275	0.2275	0.21	0.14	-999
2592	0.24	0.355	0.405	1.69	0.4	13	8.1	11.232	0.305	0.305	0.285	0.285	0.273333333	0.22	-999
2593	0.35	0.295	0.355	1.66	0.4	20.7	8.2	1.728	0.321666667	0.321666667	0.3025	0.3025	0.29	0.25	-999
2601	0.26	0.205	0.535	1.08	3.6	35.8	3.8	233.28	0.335	0.317777778	0.288571429	0.275	0.26	0.223333333	-999
2602	0.24	0.21	0.55	1.21	1.3	24.7	4.1	112.32	0.34	0.326666667	0.298571429	0.285	0.27	0.226666667	-999
2603	0.16	0.19	0.65	1.39	0.3	19.4	4	18.92	0.336	0.326666667	0.305714286	0.293333333	0.278	0.243333333	-999
2604	0.16	0.19	0.65	1.45	0.1	22.1	3.9	11.15	0.228	0.213333333	0.188571429	0.178333333	0.168	0.143333333	-999
2605	0.12	0.205	0.675	1.55	0.1	20	4.1	6.091	0.215	0.2	0.172857143	0.158333333	0.142	0.11	-999
2610	0.27	0.245	0.485	0.59	5.1	36.7	4.1	180	0.46625	0.43	0.37	0.34	0.306666667	0.255	-999
2611	0.24	0.24	0.52	0.92	4	21.3	4.4	39.83	0.3625	0.348571429	0.318	0.2975	0.27	0.225	-999
2612	0.21	0.255	0.535	1.37	0.8	10.2	4.9	55.12	0.33125	0.32	0.294	0.275	0.243333333	0.19	-999
2613	0.2	0.26	0.54	1.66	0.1	12.9	5.2	6.117	0.29875	0.29	0.266	0.2475	0.22	0.165	-999
2614	0.22	0.25	0.53	1.72	1	21.6	5.6	0.065	0.30375	0.295714286	0.276	0.2625	0.24	0.2	-999
2620	0.47	0.18	0.35	1.07	4	29.3	3.4	7.517	0.398	0.385555556	0.354285714	0.338333333	0.32	0.276666667	-999
2621	0.49	0.165	0.345	1.27	1.4	26.6	3.4	3.974	0.395555556	0.38625	0.375714286	0.365	0.35	0.323333333	-999
2622	0.46	0.15	0.39	1.47	0.6	25.3	3.6	0.57	0.363	0.356666667	0.341428571	0.331666667	0.322	0.3	-999
2630	0.25	0.1	0.65	1.27	2.6	33.7	5.5	74.304	0.27	0.253333333	0.217142857	0.2	0.18	0.136666667	-999
2631	0.24	0.085	0.675	1.39	0.9	9.3	5.8	8.467	0.284	0.268888889	0.234285714	0.218333333	0.2	0.166666667	-999
2640	0.04	0.05	0.91	1.48	1.3	1.1	4.5	12.269	0.126	0.126	0.1	0.1	0.086666667	0.04	-999
2641	0.09	0.035	0.875	1.3	2.7	10.6	4.8	208.224	0.256	0.256	0.235	0.235	0.216666667	0.185	-999
2642	0.12	0.06	0.82	1.6	1	6.7	5.2	74.477	0.25	0.25	0.23	0.23	0.213333333	0.15	-999
2650	0.14	0.25	0.61	1.08	4.6	10.3	4.7	1278.72	0.267	0.248888889	0.214285714	0.195	0.172	0.116666667	-999
2651	0.14	0.24	0.62	1.29	0.9	6	4.8	367.2	0.229	0.215555556	0.19	0.176666667	0.162	0.13	-999
2652	0.22	0.235	0.545	1.52	0.4	9.7	4.9	40.781	0.305	0.293333333	0.27	0.258333333	0.246	0.213333333	-999
2653	0.06	0.065	0.875	1.76	0.1	4	7.9	65.146	0.226	0.217777778	0.202857143	0.195	0.188	0.17	-999
2660	0.57	0.135	0.295	1.03	4	44.9	6.5	51.926	0.518888889	0.51125	0.496666667	0.488	0.48	0.445	-999
2661	0.39	0.175	0.435	1.4	-999	25.2	6.3	5.607	0.398571429	0.398571429	0.39	0.382	0.3725	0.335	-999
2670	0.21	0.29	0.5	1.5	-999	17.5	3.9	76.81	0.311	0.301111111	0.277142857	0.261666667	0.242	0.193333333	-999
